"PartitionID","TID","Items","SOT"
"p1","13","[49]","1"
"","31","[23]",""
"","47","[8]",""
"","57","[46]",""
"","64","[40]",""
"","77","[31]",""
"","86","[45]",""
"","98","[1]",""
"","101","[31]",""
"","115","[41]",""
"","163","[17]",""
"","174","[31]",""
"","189","[28]",""
"","252","[3]",""
"","261","[6]",""
"","290","[28]",""
"","343","[26]",""
"","344","[44]",""
"","381","[49]",""
"","386","[41]",""
"","388","[25]",""
"","394","[15]",""
"","401","[2]",""
"","418","[30]",""
"","427","[26]",""
"","429","[14]",""
"","432","[47]",""
"","449","[23]",""
"","482","[9]",""
"","484","[19]",""
"","509","[8]",""
"","545","[14]",""
"","584","[28]",""
"","586","[44]",""
"","598","[35]",""
"","604","[13]",""
"","607","[19]",""
"","631","[38]",""
"","659","[5]",""
"","676","[42]",""
"","682","[49]",""
"","732","[22]",""
"","744","[10]",""
"","753","[3]",""
"","756","[45]",""
"","772","[26]",""
"","790","[1]",""
"","796","[16]",""
"","845","[34]",""
"","865","[22]",""
"","878","[27]",""
"","920","[40]",""
"","929","[20]",""
"","947","[41]",""
"","961","[19]",""
"","968","[31]",""
"","981","[13]",""
"","982","[41]",""
"","990","[34]",""
"","992","[0]",""
"p2","2","[1, 19]","2"
"","3","[1, 19]",""
"","9","[2, 28]",""
"","23","[13, 19]",""
"","28","[9, 14]",""
"","30","[13, 35]",""
"","33","[4, 46]",""
"","42","[3, 36]",""
"","49","[33, 42]",""
"","50","[28, 39]",""
"","52","[1, 19]",""
"","53","[32, 34]",""
"","56","[39, 49]",""
"","66","[27, 28]",""
"","67","[1, 36]",""
"","71","[30, 49]",""
"","88","[14, 44]",""
"","92","[1, 48]",""
"","97","[1, 19]",""
"","128","[39, 41]",""
"","129","[13, 23]",""
"","146","[7, 15]",""
"","147","[5, 22]",""
"","168","[4, 9]",""
"","175","[40, 42]",""
"","191","[12, 24]",""
"","194","[27, 28]",""
"","196","[5, 22]",""
"","198","[5, 22]",""
"","203","[1, 36]",""
"","207","[20, 48]",""
"","225","[5, 22]",""
"","231","[27, 28]",""
"","232","[24, 44]",""
"","236","[16, 42]",""
"","237","[5, 22]",""
"","241","[11, 12]",""
"","246","[4, 9]",""
"","253","[14, 27]",""
"","263","[11, 40]",""
"","268","[3, 24]",""
"","283","[21, 29]",""
"","285","[38, 39]",""
"","298","[11, 29]",""
"","311","[5, 22]",""
"","315","[4, 9]",""
"","320","[12, 34]",""
"","322","[23, 28]",""
"","323","[1, 19]",""
"","330","[5, 13]",""
"","358","[18, 35]",""
"","360","[33, 37]",""
"","363","[14, 44]",""
"","367","[10, 29]",""
"","374","[4, 9]",""
"","389","[4, 9]",""
"","400","[1, 48]",""
"","404","[34, 36]",""
"","406","[5, 22]",""
"","408","[14, 46]",""
"","411","[27, 28]",""
"","412","[27, 28]",""
"","424","[12, 13]",""
"","425","[16, 44]",""
"","431","[33, 42]",""
"","439","[8, 47]",""
"","440","[2, 19]",""
"","473","[17, 47]",""
"","474","[11, 32]",""
"","481","[3, 46]",""
"","485","[33, 42]",""
"","486","[4, 34]",""
"","488","[5, 22]",""
"","489","[10, 31]",""
"","491","[39, 47]",""
"","499","[14, 44]",""
"","504","[5, 18]",""
"","506","[0, 20]",""
"","507","[23, 30]",""
"","525","[22, 39]",""
"","528","[41, 42]",""
"","531","[0, 16]",""
"","533","[13, 28]",""
"","534","[13, 18]",""
"","537","[15, 28]",""
"","557","[14, 44]",""
"","559","[17, 47]",""
"","565","[6, 46]",""
"","570","[27, 28]",""
"","571","[16, 32]",""
"","576","[4, 7]",""
"","578","[4, 15]",""
"","583","[5, 22]",""
"","589","[5, 22]",""
"","597","[1, 19]",""
"","608","[5, 22]",""
"","609","[1, 19]",""
"","612","[30, 44]",""
"","617","[7, 10]",""
"","648","[36, 39]",""
"","655","[4, 9]",""
"","656","[5, 22]",""
"","657","[33, 42]",""
"","667","[27, 28]",""
"","669","[21, 40]",""
"","673","[33, 42]",""
